"concentration_regime","hhi","hours_coordination","mkr_movilizado","n_lock_events","n_voters","participation_tier","spell_address","top1_share_pct","total_mkr","ts_lift","ts_propose","kappa_coord","whale_present","micro_spell","year","post_sky","log_kappa","log_mkr","log_hours"
"high_concentration",9313.7751258748,48.013056,3524.73304536071,3,3,"medium","0x55c27274b656d7e4da86943858ab1dbed747a702",96.4612058911841,3524.73304536071,2021-03-19 16:57:38,2021-03-17 16:56:51,169233.205091954,0,0,2021,0,12.039038863477,8.16784364975719,3.89208671159899
"high_concentration",7889.10283963684,48.015556,1126.51432339521,4,4,"medium","0xae439ea157ff92b069fdb23e993050e6250fe38e",88.4942143474428,1126.51432339521,2021-03-24 13:08:18,2021-03-22 13:07:22,54090.2115797847,0,0,2021,0,10.8984270039451,7.0277707749726,3.89213771711564
"high_concentration",9166.12694459867,48.029722,16.1333206477826,2,2,"small","0x37e42c2b1006de2194483869f1357bed4c01c083",95.6405901835125,16.1333206477826,2021-04-11 00:02:47,2021-04-09 00:01:00,774.878905649858,0,0,2021,0,6.65399645858596,2.84102514339094,3.89242668564911
"high_concentration",10000,60.152222,53.4705761912325,1,1,"small","0xeebe373ae34cb1c62d1d44c180d4be3580e5e2ef",100,53.4705761912325,2021-04-16 14:02:03,2021-04-14 01:52:55,3216.37396952293,0,0,2021,0,8.07632076839166,3.99766066947866,4.11336619834955
"moderate_concentration",5720.65369359959,108.500278,31.135507917829,6,6,"small","0x10a43aeebeab81b412560737cd67d5652ee3c073",72.9552706249139,31.135507917829,2021-04-26 14:02:08,2021-04-22 01:32:07,3378.21126475565,0,0,2021,0,8.12539760762328,3.46996158444998,4.69592708806612
"high_concentration",8417.21547235721,63.913611,3179.02736863942,7,7,"medium","0x904b98b814583f80ff886e446f509e6e1caa85d0",91.5506155412977,3179.02736863942,2021-04-29 14:01:44,2021-04-26 22:06:55,203183.118597574,0,0,2021,0,12.2218678351241,8.06464508222757,4.17305732437155
"moderate_concentration",4814.60358188128,48.016111,76.0803373033402,4,4,"small","0x82c64a5b90ef982f770c6e5aa9b97e40f1ea26e7",55.1477017587442,76.0803373033402,2021-04-29 19:28:06,2021-04-27 19:27:08,3653.08192087462,0,0,2021,0,8.20360015619256,4.34484821955294,3.89214903998746
"high_concentration",10000,108.381111,27.4204167449965,1,1,"small","0x6efda6691fac6b9333b156b67d72bbcea21b746e",100,27.4204167449965,2021-05-17 14:03:57,2021-05-13 01:41:05,2971.85523090573,0,0,2021,0,7.99727812719617,3.34710778635442,4.694838215117
"moderate_concentration",2799.73702666837,48.921667,18789.8411166688,5,5,"large","0xb4399806bf4d238f315c3da4f1c61586afb4a1ac",34.0909492540491,18789.8411166688,2021-05-25 14:00:24,2021-05-23 13:05:06,919230.350092578,0,0,2021,0,13.7312931107799,9.84112485546464,3.91045511693311
"high_concentration",10000,48.009167,10.3594662071165,1,1,"small","0x6fbc6f2bcd2b00cd2a5177f05049045aa4decc4e",100,10.3594662071165,2021-05-27 18:26:39,2021-05-25 18:26:06,497.349343168312,0,0,2021,0,6.21130132339978,2.43005142337883,3.89200736224569
